HEADER_BEGIN-------------------------------------------------------------
WARNING ! Do not remove or change anything in this header.
Exported by CanView 1.20
13,45,12,4
HEADER_END---------------------------------------------------------------

> +214.8ms                                                  000100F0                                    
> +1.9ms                                                    00020010                                    
> +0.4ms                                                    00020020                                    
> +0.2ms                                                    0010F010    00  01  00  50  3A  20  20  20  
> +0.2ms                                                    0010F010    00  01  00  50  32  2E  30  2E  
> +0.2ms                                                    0010F010    00  01  00  50  31  20  20  0A  
> +0.2ms                                                    0010F010    00  01  00  50  50  43  42  2D  
> +0.2ms                                                    0010F010    00  01  00  50  4B  20  4D  32  
> +0.7ms                                                    0010F010    00  01  00  50  31  48  20  4D  
> +0.2ms                                                    0010F010    00  01  00  50  33  3A  20  20  
> +0.2ms                                                    0010F010    00  01  00  50  20  32  2E  30  
> +0.2ms                                                    0010F010    00  01  00  50  2E  31  20  20  
> +0.2ms                                                    0010F010    00  01  00  50  0A  50  43  42  
> +0.6ms                                                    0010F010    00  01  00  50  2D  59  20  53  
> +0.2ms                                                    0010F010    00  01  00  50  50  20  53  45  
> +0.2ms                                                    0010F010    00  01  00  50  4E  53  4F  52  
> +0.2ms                                                    0010F010    00  01  00  50  3A  20  20  20  
> +1.6ms                                                    0010F010    00  01  00  50  31  2E  30  2E  
> +0.3ms                                                    0010F010    00  01  00  50  35  04  04  04  
> +14.5ms                                                   001220F0    00  06  02  00                  
> +0.8ms                                                    0010F020    81  06  02  00  00  00  00  0A  
> +3.1ms                                                    001120F0    00  06  02  10  00  00  00  01  
> +41.0ms                                                   001220F0    00  06  02  11                  
> +0.5ms                                                    0010F020    00  06  02  11  4E  56  4D  30  
> +0.8ms                                                    0010F020    00  06  02  11  30  31  20  43  
> +0.3ms                                                    0010F020    00  06  02  11  72  65  61  73  
> +0.2ms                                                    0010F020    00  06  02  11  65  20  54  6F  
